Query,Query Path,SrcFileName,Line,Column,NodeID,Name,DestFileName,DestLine,DestColumn,DestNodeId,DestName,Result State,Result Severity,Comment,Link,Result Status,Detection Date
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/photos.js,10,31,,user,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/auth.js,34,30,,query,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/auth.js,17,40,,body,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/photos.js,9,36,,body,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/auth.js,8,47,,body,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SQL_Injection,javascript/JavaScript_Server_Side_Vulnerabilities/SQL_Injection,/vulnerable_social_media/backend/routes/photos.js,21,28,,user,/vulnerable_social_media/backend/config/db.js,14,28,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Sensitive_Information_Exposure_in_Cleartext_Channel,javascript/JavaScript_Server_Side_Vulnerabilities/Sensitive_Information_Exposure_in_Cleartext_Channel,/vulnerable_social_media/frontend/src/components/Register.jsx,16,56,,email,/vulnerable_social_media/frontend/src/components/Register.jsx,13,27,,fetch,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Sensitive_Information_Exposure_in_Cleartext_Channel,javascript/JavaScript_Server_Side_Vulnerabilities/Sensitive_Information_Exposure_in_Cleartext_Channel,/vulnerable_social_media/frontend/src/components/Register.jsx,16,46,,password,/vulnerable_social_media/frontend/src/components/Register.jsx,13,27,,fetch,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Sensitive_Information_Exposure_in_Cleartext_Channel,javascript/JavaScript_Server_Side_Vulnerabilities/Sensitive_Information_Exposure_in_Cleartext_Channel,/vulnerable_social_media/frontend/src/components/Login.jsx,15,46,,password,/vulnerable_social_media/frontend/src/components/Login.jsx,12,27,,fetch,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Reflected_XSS,javascript/JavaScript_Server_Side_Vulnerabilities/Reflected_XSS,/vulnerable_social_media/backend/routes/auth.js,17,40,,body,/vulnerable_social_media/backend/routes/auth.js,28,25,,send,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
SSRF,javascript/JavaScript_Server_Side_Vulnerabilities/SSRF,/vulnerable_social_media/backend/routes/photos.js,38,27,,url,/vulnerable_social_media/backend/routes/photos.js,39,34,,url,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Reflected_XSS,javascript/JavaScript_Server_Side_Vulnerabilities/Reflected_XSS,/vulnerable_social_media/backend/routes/photos.js,9,36,,body,/vulnerable_social_media/backend/routes/photos.js,16,9,,send,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Reflected_XSS,javascript/JavaScript_Server_Side_Vulnerabilities/Reflected_XSS,/vulnerable_social_media/backend/routes/photos.js,38,27,,url,/vulnerable_social_media/backend/routes/photos.js,41,9,,send,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Reflected_XSS,javascript/JavaScript_Server_Side_Vulnerabilities/Reflected_XSS,/vulnerable_social_media/backend/routes/auth.js,8,47,,body,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,To Verify,HIGH,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Secret_Leak,javascript/JavaScript_Medium_Threat/Secret_Leak,/vulnerable_social_media/backend/config/db.js,6,5,,password,/vulnerable_social_media/backend/routes/auth.js,28,25,,send,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Secret_Leak,javascript/JavaScript_Medium_Threat/Secret_Leak,/vulnerable_social_media/backend/routes/auth.js,19,85,,password,/vulnerable_social_media/backend/routes/auth.js,28,25,,send,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Secret_Leak,javascript/JavaScript_Medium_Threat/Secret_Leak,/vulnerable_social_media/backend/routes/auth.js,23,46,,SECRET_KEY,/vulnerable_social_media/backend/routes/auth.js,26,13,,json,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Secret_Leak,javascript/JavaScript_Medium_Threat/Secret_Leak,/vulnerable_social_media/backend/config/db.js,6,5,,password,/vulnerable_social_media/backend/routes/photos.js,25,9,,json,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/auth.js,8,47,,body,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/photos.js,10,31,,user,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/photos.js,21,28,,user,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/photos.js,9,36,,body,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/auth.js,17,40,,body,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Poor_Database_Access_Control,javascript/JavaScript_Server_Side_Vulnerabilities/Poor_Database_Access_Control,/vulnerable_social_media/backend/routes/auth.js,34,30,,query,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
JWT_Sensitive_Information_Exposure,javascript/JavaScript_Medium_Threat/JWT_Sensitive_Information_Exposure,/vulnerable_social_media/backend/routes/auth.js,23,46,,SECRET_KEY,/vulnerable_social_media/backend/routes/auth.js,23,27,,sign,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Use_Of_Hardcoded_Password,javascript/JavaScript_Server_Side_Vulnerabilities/Use_Of_Hardcoded_Password,/vulnerable_social_media/backend/server.js,7,20,,"""hardcoded_jwt_secret_123""",/vulnerable_social_media/backend/server.js,7,7,,SECRET_KEY,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Use_Of_Hardcoded_Password,javascript/JavaScript_Server_Side_Vulnerabilities/Use_Of_Hardcoded_Password,/vulnerable_social_media/backend/config/db.js,6,15,,"""admin123""",/vulnerable_social_media/backend/config/db.js,6,5,,password,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Insecure_Storage_of_Sensitive_Data,javascript/JavaScript_Server_Side_Vulnerabilities/Insecure_Storage_of_Sensitive_Data,/vulnerable_social_media/backend/routes/auth.js,19,85,,password,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Missing_HSTS_Header,javascript/JavaScript_Medium_Threat/Missing_HSTS_Header,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Insecure_Storage_of_Sensitive_Data,javascript/JavaScript_Server_Side_Vulnerabilities/Insecure_Storage_of_Sensitive_Data,/vulnerable_social_media/backend/routes/auth.js,19,65,,""" AND password = """,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
HttpOnly_Cookie_Flag_Not_Set,javascript/JavaScript_Server_Side_Vulnerabilities/HttpOnly_Cookie_Flag_Not_Set,/vulnerable_social_media/backend/routes/auth.js,25,13,,cookie,/vulnerable_social_media/backend/routes/auth.js,25,13,,cookie,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Insecure_Storage_of_Sensitive_Data,javascript/JavaScript_Server_Side_Vulnerabilities/Insecure_Storage_of_Sensitive_Data,/vulnerable_social_media/backend/routes/auth.js,10,88,,password,/vulnerable_social_media/backend/config/db.js,14,34,,text,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,RECURRENT,06/24/2025 03:56
Secret_Leak_in_Logs,javascript/JavaScript_Low_Visibility/Secret_Leak_in_Logs,/vulnerable_social_media/frontend/src/components/Login.jsx,15,46,,password,/vulnerable_social_media/frontend/src/components/Login.jsx,20,17,,log,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Potential_Clickjacking_on_Legacy_Browsers,javascript/JavaScript_Low_Visibility/Potential_Clickjacking_on_Legacy_Browsers,/vulnerable_social_media/frontend/public/index.html,1,1,,<,/vulnerable_social_media/frontend/public/index.html,1,1,,<,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Privacy_Violation_in_JWT,javascript/JavaScript_Low_Visibility/Privacy_Violation_in_JWT,/vulnerable_social_media/backend/routes/auth.js,23,46,,SECRET_KEY,/vulnerable_social_media/backend/routes/auth.js,23,27,,sign,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Missing_Framing_Policy,javascript/JavaScript_Low_Visibility/Missing_Framing_Policy,/vulnerable_social_media/backend/routes/photos.js,37,34,,res,/vulnerable_social_media/backend/routes/photos.js,41,9,,send,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Missing_Framing_Policy,javascript/JavaScript_Low_Visibility/Missing_Framing_Policy,/vulnerable_social_media/backend/routes/auth.js,7,38,,res,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Missing_Framing_Policy,javascript/JavaScript_Low_Visibility/Missing_Framing_Policy,/vulnerable_social_media/backend/routes/photos.js,8,36,,res,/vulnerable_social_media/backend/routes/photos.js,16,9,,send,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Missing_CSP_Header,javascript/JavaScript_Server_Side_Vulnerabilities/Missing_CSP_Header,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,/vulnerable_social_media/backend/routes/auth.js,13,9,,send,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Missing_Framing_Policy,javascript/JavaScript_Low_Visibility/Missing_Framing_Policy,/vulnerable_social_media/backend/routes/auth.js,33,39,,res,/vulnerable_social_media/backend/routes/auth.js,37,9,,send,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
Client_Dangerous_File_Inclusion,javascript/JavaScript_Low_Visibility/Client_Dangerous_File_Inclusion,/vulnerable_social_media/frontend/public/index.html,7,46,,"""http://untrusted.com/script.js""",/vulnerable_social_media/frontend/public/index.html,7,46,,"""http://untrusted.com/script.js""",To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
JWT_Lack_Of_Expiration_Time,javascript/JavaScript_Server_Side_Vulnerabilities/JWT_Lack_Of_Expiration_Time,/vulnerable_social_media/backend/routes/auth.js,23,27,,sign,/vulnerable_social_media/backend/routes/auth.js,23,27,,sign,To Verify,LOW,,https://us.ast.checkmarx.net/results/0ecb9b05-155d-480f-a873-e53fa13aace2/a2da4db2-f1f7-482c-b296-90525eac0153/sast,NEW,06/24/2025 18:03
